央视,#genre#
陕西卫视,http://192.168.1.99:5050/udp/239.49.0.233:8000
甘肃卫视,http://192.168.1.99:5050/udp/239.49.0.172:8000
青海卫视,http://192.168.1.99:5050/udp/239.49.1.53:6000
宁夏卫视,http://192.168.1.99:5050/udp/239.49.0.171:8000
新疆卫视,http://192.168.1.99:5050/udp/239.49.0.178:8000
深圳卫视,http://192.168.1.99:5050/udp/239.49.1.59:6000
三沙卫视,http://192.168.1.99:5050/udp/239.49.0.165:8000
大湾区卫视,http://192.168.1.99:5050/udp/239.49.0.234:8000

兵团卫视,https://test5.btzx.com.cn/live/2023bt.stream/chunklist_w64361036.m3u8


上海,#genre#

上海新闻综合,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031110/1.m3u8?channel-id=bestzb&Contentid=5000000011000031110&livemode=1&stbId=3
东方影视,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000032212/1.m3u8?channel-id=bestzb&Contentid=5000000010000032212&livemode=1&stbId=3
东方财经,http://zteres.sn.chinamobile.com:6060/000000001000/5000000007000010003/1.m3u8?channel-id=bestzb&Contentid=5000000007000010003&livemode=1&stbId=3
上海都市,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000018926/1.m3u8?channel-id=bestzb&Contentid=5000000010000018926&livemode=1&stbId=3
五星体育,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000017540/1.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3
上海ICS,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000030951/1.m3u8?channel-id=bestzb&Contentid=5000000010000030951&livemode=1&stbId=3
七彩戏剧,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031116/1.m3u8?channel-id=bestzb&Contentid=5000000011000031116&livemode=1&stbId=3
法治天地,http://zteres.sn.chinamobile.com:6060/000000001000/9001547084732463424/1.m3u8?channel-id=bestzb&Contentid=9001547084732463424&livemode=1&stbId=3
第一财经,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000027146/1.m3u8?channel-id=bestzb&Contentid=5000000010000027146&livemode=1&stbId=3
东方购物,http://zteres.sn.chinamobile.com:6060/000000001000/5000000007000010004/1.m3u8?channel-id=bestzb&Contentid=5000000007000010004&livemode=1&stbId=3

第一财经,http://192.168.1.99:5050/udp/239.49.8.37:8000
